filename,message
0,001602.fdb6f25bb244465c6a91780670,"thosstew @ aol.com xander blakley quotes russian joke terrific book _siberia bound_ . frenchman , american , russian get talking bout country desireable women . frenchman says , `` ah , frenchman puts hands around zee waist lover , fingers form complete circle touch -- hands large , zee french woman 's waist slender . '' american says `` yep , american woman gets horse , heels reach way ground -- 's american horses short , american women endlessly long , sexy legs . '' russian says : `` da , russian slaps wife 's ass way house morning , 's still jiggling comes back work -- 's ass big , russian work day short . '' tom http : //xent.com/mailman/listinfo/fork "
1,001340.f4f8cb4641e47794c1e09f4811,"james raftery < james-iiu @ now.ie > hi , john mccormac < jmcc @ hackwatch.com > wrote : > last week , indexing stuff whoisireland.com , noticed > ns0.domainregistry.ie banba.domainregistry.ie synch > days . nameservers seemed give current soa > time . however affected secondaries may using > ns0.domainregistry.ie axfr propagated error . n't know role ns0 plays relation ie zone . certainly involved regular resolution process . may involved zone distribution suggest . iirc ( often n't ) friday ns0 serial none ie nameservers shared . unfortunately n't record . > whole thing seriously bring question iedr 's decision > outsource technical admininstration .ie company > apparently even admin dns . nice story though - > almost good time .ie disappeared 8 hours july > 1998 . ... noticed : ) [ messages iedr-forum list time n't support assertion ] aside , shortly note friday uucp-gw-1.pa.dec.com uucp-gw-2.pa.dec.com stopped responding dns requests . ie two dead nameservers , four stuck week past three working correctly . marvellous . atb , james _______________________________________________ iiu mailing list iiu @ iiu.taint.org http : //iiu.taint.org/mailman/listinfo/iiu "
2,001564.e627118e5dc0433147856be71a,`` joseph s. barrera iii '' < joe @ barrera.org > wayne e baisley wrote : > 's nothing know n't known . > nothing see n't shown . > nowhere n't 're meant . > 's easy . > need html . quoting beatles version laibach version ? - joe : - ) http : //xent.com/mailman/listinfo/fork 
3,000047.fed19538995c10e7f9b484fd65,"dont @ cpprimaonline.com , pay @ cpprimaonline.com , top @ cpprimaonline.com , dollar @ cpprimaonline.com , @ cpprimaonline.com , niagara @ cpprimaonline.com < html > < head > < body background= '' glabkgnd.jpg '' bgcolor= '' # ffffff '' text= '' # 000000 '' link= '' # 006666 '' vlink= '' # 999999 '' alink= '' # 66cccc '' > < font face= '' arial , arial , helvetica '' > < p > < strong > powerful drink labeled `` romance bottle '' nothing ! < /strong > < /p > < p > 's powerful blend aphrodisiac herbs put sizzle back relationship ... see ! < /p > < p > niagara fizzy blue herbal tonic sweeping nation storm ! 've heard , read , talked , watched television ! & nbsp ; < /p > < p > fda regulate approve herbal products . however , niagara 's ingredients listing labeling meet fda approval . niagara suitable children , pregnant women persons sensitive caffeine high blood pressure . < /p > info : < href= '' mailto : cowboy1965 @ etang.com ? subject=more 99 info ! `` > click < /a > & nbsp ; < font size= '' -1 '' face= '' ms sans serif '' color= '' navy '' > simply reply `` 99 '' subject field < /font > < p > & nbsp ; < /p > < p > < b > < font size= '' 4 '' > form faxed 480.314.5776 < /font > < /b > < /p > < p > < strong > order form- < /strong > < /p > < form method= '' post '' action= '' -- webbot-self -- '' > < p align= '' left '' > name & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 22 '' > < /p > < p align= '' left '' > address : & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p align= '' left '' > city : & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p align= '' left '' > state & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p align= '' left '' > zip & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p align= '' left '' > phone & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p > < string > < b > credit card info- < /b > < /p > < p > credit card type : & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p > card number & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p > expiration date & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < p > order quantity & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; < input type= '' text '' name= '' t1 '' size= '' 20 '' > < /p > < /form > < img border= '' 0 '' src= '' big_pic.jpg '' width= '' 304 '' height= '' 178 '' > < p > remove address mailing list : < href= '' mailto : cowboy1965 @ etang.com ? subject=remove '' > click < /a > & nbsp ; < font size= '' -1 '' face= '' ms sans serif '' color= '' navy '' > < /font > < /font > < /p > < /body > "
4,001553.199bab4fe530ce36bcb13f6fa1,"gary lawrence murphy < garym @ canada.com > > > > > > `` g '' == gregory alan bolcer < gbolcer @ endeavors.com > writes : g > ... imagine threatening someone get wireless ? well ... considering happily cashed $ 2000 cheque almost month ago 'm /still/ using crippled auracom dialup , yes , imagine , quite vividly ; beta-testing sometime early next week dsisp.net n't get antenna rigged guy-wired pdq . 'm paying /interest/ $ 2k ! -- gary lawrence murphy < garym @ teledyn.com > teledynamics communications inc business advantage community software : http : //www.teledyn.com '' computers useless . give answers . `` ( pablo picasso ) http : //xent.com/mailman/listinfo/fork "
5,001331.a9a73819ece1b9a351243b1dbd,"`` ciaran mac lochlainn '' < ciaran17 @ eircom.net > thanks lads , n't mean criticise/give offence anything ( someone mailed list seemed think ) wondering `` anything could done '' messages . maybe stupid question , seeing know virtually nothing mailman , listservs , server side spam filtering , thanks answering intelligently ! ciaran waider elucidated : > martin feeney wrote : > | tue , 20 aug 2002 10:14:59 ciaran mac lochlainn wrote : > | > | > really necessary send list ? > | > | > | 's happening scumbag spammers forging > | address ilug @ linux.ie well , notification > | email reviewed gets sent back address : > | ilug @ linux.ie > | > | martin . > | > > belabour point , noone legitimately send mail ilug > ilug @ linux.ie , mailman catching stopping . > sending confirms whatever , dropping mail floor . > > cheers , > waider . -- irish linux users ' group : ilug @ linux.ie http : //www.linux.ie/mailman/listinfo/ilug ( un ) subscription information . list maintainer : listmaster @ linux.ie "
6,000066.40ca5edaea6bd1d489c292b958,"pfxljt @ aol.com increase revenues accepting credit cards checks ! visa ~ mastercard ~ american express ~ check guarantee ~ electronic internet checks increase sales w/4 powerful words ! ! ! accept credit cards today , world e-business moving faster everyday . customers expect every payment option , may take business elsewhere . means lost sales ! sell product service need merchant account ! internet merchants seen sales increases high 1500 % ! offering wide variety easy payment options customers increases impulse buying helps sell expensive items . complete e-commerce solutions accept visa , mastercard , american express checks website , online store , traditional storefront home based business . information please visit faq http : //medlem.tripodnet.nu/jja8888 ======================== submit information via email name : phonenumber : best time call : ======================== thank removed type remove subject line "
7,000427.6d3aad306a075ad703cbc0be66,"`` iq - asset marketing '' < @ insurancemail.net > asset marketing systems insurance industry 's fastest growing field marketing organization past four years . year 'll place $ 1.5 billion premium , selling high-quality , high-commission fixed annuities america 's 35 million senior citizens . many agents chosen business asset marketing systems ? asset marketing fmo america generates qualified leads , helps set appointments , structures product positioning , increases closing ratios handles paperwork ... absolutely cost agent ! also proud report agents routinely earn 20 times industry average . assuming qualify , 'll pick entire tab visit corporate offices sunny san diego . one phone call change life . guaranteed . ready join best ? call susan 888-303-8755 e-mail jennifer jennifer @ assetmarketingsystems.com < mailto : jennifer @ assetmarketingsystems.com > ? ? please fill form information name : e-mail : phone : city : state : asset marketing systems < http : //www.assetmarketingsystems.com > want anyone receive mailings wish . professional communication sent insurance professionals . removed mailing list , reply message . instead , go : http : //www.insurancemail.net legal notice < http : //www.insiq.com/legal.htm > earn 20 times peers =20 =20 =20 =20 =20 =20 asset marketing systems insurance = industry 's fastest=20 growing field marketing organization past = four years.=20 year 'll place $ 1.5 billion premium , selling = high-quality , =20 high-commission fixed annuities america 's 35 = million senior=20 citizens . =20 =20 many agents chosen business asset = marketing=20 systems ? asset marketing fmo america generates qualified leads , helps set appointments , = structures=20 product positioning , increases closing ratios handles = the=20 paperwork ... absolutely cost agent ! also proud report agents routinely earn 20 times industry average . = assuming=20 qualify , 'll pick entire tab visit = corporate=20 offices sunny san diego . =20 =20 ready join best ? call susan e-mail jennifer jennifer @ assetmarketin= gsystems.com   =20 =20 =20 =20 please fill form = information =20 name : =20 =20 e-mail : =20 =20 phone : =20 =20 city : =20 state : =20 =20 =20 =20 =20 =20 we=20 want anyone receive mailings wish = . this=20 professional communication sent insurance = professionals . to=20 removed mailing list , reply = message . instead , =20 go : http : //www.insurancemail.net=20 legal = notice=20 "
8,000496.e0bcb56b47a7cb6a6a4182d761,"usa green card lottery < info @ nextmail.net > united states program , called diversity immigrant visa lottery ( better known green card lottery ) , making available year random selection 50,000 permanent residence visas ( green cards ) people around world . objective program issue green cards individuals born countries historically low levels immigration united states . green card permanent residence visa u.s.a. green card give legal right work live permanently united states . green card holders receive health , education , several benefits . win green card , apply u.s. citizenship later time . green card affect present citizenship . family could lucky winners ! email address obtained purchased list , reference # 00193. wish unsubscribe list , please click . previously unsubscribed still receiving message , may email abuse control center , call 1-888-763-2497 , write us : nospam , 6484 coral way , miami , fl , 33155 . -- deathtospamdeathtospamdeathtospam -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - sf.net email sponsored : jabber - world 's fastest growing real-time communications platform ! n't im . build ! http : //www.jabber.com/osdn/xim _______________________________________________ spamassassin-sightings mailing list spamassassin-sightings @ lists.sourceforge.net https : //lists.sourceforge.net/lists/listinfo/spamassassin-sightings "
9,001889.2a1c7c57e62ce9e4b5b6527ffe,"matthias saou < matthias @ egwn.net > upon time , doug wrote : > perms borked en/ directory . ca n't get . indeed , sorry . fixed , happy download : - ) matthias -- matthias saou world trade center -- -- -- -- -- -- - edificio norte 4 planta system network engineer 08039 barcelona , spain electronic group interactive phone : +34 936 00 23 23 _______________________________________________ rpm-list mailing list < rpm-list @ freshrpms.net > http : //lists.freshrpms.net/mailman/listinfo/rpm-list "
