message,spam
0,"valdis.kletnieks @ vt.edu tue , 20 aug 2002 17:27:47 cdt , chris garrigues < cwg-exmh @ deepeddy.com > said : > sequences defined , window widen display > sequences . preferences allow say want given > sequence display never show always show . ever tried get mh *not* 'pseq ' sequence ? suspect everybody's looking big box unseen pseq . might want add 'pseq ' 'hide default ' list ... . -- valdis kletnieks computer systems senior engineer virginia tech -- -- -begin pgp signature -- -- - version : gnupg v1.0.7 ( gnu/linux ) comment : exmh version 2.5 07/13/2001 id8dbqe9ywbhcc3lwbtt17arapjqaj9er8dbc1yim8a6rlfa5tfs2vy0macg6u55 wpawcjzn9ma23u7obqikqt4= =ee1l -- -- -end pgp signature -- -- - ",0
1,`` wintermute '' < cout @ eircom.net > hmm . make sure formatted partition fat 16 made partition /dev/hda1 size dos wo n't problem recognising ! -- irish linux users ' group : ilug @ linux.ie http : //www.linux.ie/mailman/listinfo/ilug ( un ) subscription information . list maintainer : listmaster @ linux.ie ,0
2,root @ dogma.slashnull.org ( cron daemon ) errors encountered tonight 's sitescooper run : serious warnings : -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - site warning : `` advogato_diaries.site '' line 1 : http get failed : 500 ca n't connect www.advogato.org:80 ( timeout ) ( http : //www.advogato.org/recentlog.html ) site warning : `` advogato.site '' line 1 : http get failed : 500 ca n't connect www.advogato.org:80 ( timeout ) ( http : //www.advogato.org/article/ ) site warning : `` doc.cf '' line 6 : configuration line invalid ( needs url line first ? ) : site warning : `` doc.cf '' line 7 : configuration line invalid ( needs url line first ? ) : site warning : `` isilo.cf '' line 6 : configuration line invalid ( needs url line first ? ) : site warning : `` isilo.cf '' line 7 : configuration line invalid ( needs url line first ? ) : site warning : `` linux_gazette.site '' line 3 : redirected http : //www.linuxgazette.com/ http : //www.linuxgazette.com/lg_frontpage.html site warning : `` plucker.cf '' line 6 : configuration line invalid ( needs url line first ? ) : site warning : `` plucker.cf '' line 7 : configuration line invalid ( needs url line first ? ) : site warning : `` unblinking.site '' line 11 : unrecognised : site warning : `` world_new_york.site '' line 1 : http get failed : 404 found ( http : //www.worldnewyork.org/avantgo.php ) site pattern changed warnings : -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - site warning : `` crypto_gram.site '' line 1 : linksstart pattern `` < table border=0 cellpadding=5 cellspacing=5 > '' found page http : //www.counterpane.com/crypto-gram.html site warning : `` freshmeat_articles.site '' line 1 : linksstart pattern `` -- content -- '' found page http : //freshmeat.net/articles/ site warning : `` freshmeat.site '' line 6 : storystart pattern `` < table cellspacing= '' 0 '' cellpadding= '' 3 '' '' found page http : //freshmeat.net/ site warning : `` genehack.site '' line 1 : storystart pattern `` /universal header '' found page http : //www.genehack.org/ site warning : `` linux_hu.site '' line 1 : storystart pattern `` -- hirek -- -- -- -- -- - '' found page http : //www.linux.hu/ site warning : `` linux_magazine.site '' line 1 : linksstart pattern `` < td class= '' features '' bgcolor= '' ccffcc '' align= '' center '' > '' found page http : //www.linux-mag.com/ site warning : `` linuxworld.site '' line 3 : linksstart pattern `` ( ? ) start features '' found page http : //www.linuxworld.com/linuxworld/home.html site warning : `` mandrakeforum.site '' line 1 : linksstart pattern `` start : body '' found page http : //www.mandrakeforum.com/ site warning : `` merlyns_columns.site '' line 1 : linksstart pattern `` < h2 > columns < /h2 > '' found page http : //www.stonehenge.com/merlyn/linuxmag/ site warning : `` merlyns_columns.site '' line 1 : linksstart pattern `` < h2 > columns < /h2 > '' found page http : //www.stonehenge.com/merlyn/webtechniques/ site warning : `` plastic.site '' line 1 : linksstart pattern `` begin index block '' found page http : //www.plastic.com/ site warning : `` sitescooper_archive.site '' line 5 : linksstart pattern `` < font . * > date < /font > '' found page http : //groups.yahoo.com/group/sitescooper-archive/ site warning : `` slashdot.site '' line 7 : linksstart pattern `` & nbsp ; < href=/hof.shtml > hof < /a > '' found page http : //slashdot.org/index.pl ? light=1 & noboxes=1 & noicons=1 site warning : `` tbtf_log.site '' line 3 : storystart pattern `` -- created blogger ! -- '' found page http : //tbtf.com/blog/ site warning : `` the_onion.site '' line 5 : linksstart pattern `` < frameset '' found page http : //www.theonion.com/ site warning : `` the_register.site '' line 3 : linksstart pattern `` < ilayer id=ad1 visibility=hide ( ? : .* ? ) < /ilayer > '' found page http : //www.theregister.co.uk/content/29/index.html site warning : `` user_friendly.site '' line 2 : storystart pattern `` < ! -- start current strip -- > '' found page http : //www.userfriendly.org/static/ site warning : `` weekly_news.site '' line 1 : linksstart pattern `` -- leading stuff goes -- '' found page http : //www.lwn.net/ ,0
3,"conor daly < conor.daly @ oceanfree.net > fri , jul 26 , 2002 03:56:22pm +0100 rumoured hereabouts , wynne , conor thought : > surely would faster save conf files , install box > , copy back confs voila . > car confs boite data right ? yeah , 'd remember _exactly_ confs 'd modified 're /etc either ... > thats would , sysadmins make life difficult & > complicated possible ; -- ) yup ... case , two issues . 1. mirrored disk give someone else work box available p1 p2 processor . 2. celeron box crashing backup software wanted try backup different box make sure 's hardware related . , 's also interesting exercise ... > thought mirroring system drives ? might save serious > hassle line . oh , 'm . going africa 'm aiming robust possible belt , braces probably all-in-one jumpsuit ! 'll mirroring disk worth much ( eg . lightning strike taking disk ( ) system compromise ) 'm also going backup cdr automated restore http : //www.mondorescue.org . admin would n't able build system mobo got fried replacement wrong arch i386 compatible install mean dropping hd booting ( ish ) ... conor -- conor daly < conor.daly @ oceanfree.net > domestic sysadmin : - ) -- -- -- -- -- -- -- -- -- -- - faenor.cod.ie 2:32pm 64 days , 23:49 , 0 users , load average : 0.00 , 0.00 , 0.00 hobbiton.cod.ie 2:19pm 7 days , 20:56 , 1 user , load average : 0.05 , 0.02 , 0.00 -- irish linux users ' group : ilug @ linux.ie http : //www.linux.ie/mailman/listinfo/ilug ( un ) subscription information . list maintainer : listmaster @ linux.ie ",0
4,"ralf ertzinger < ralf @ camperquake.de > hi . `` kevin worthington '' < kworthington @ linuxmail.org > wrote : > /home/dude/redhat etc . running > # rpm -ivh foo.src.rpm : echo `` % _topdir /home/dude/redhat '' > > /home/dude/.rpmmacros make sure directory structure ( rpms , sources , specs , srpms , build ) . -- r ! _______________________________________________ rpm-list mailing list < rpm-list @ freshrpms.net > http : //lists.freshrpms.net/mailman/listinfo/rpm-list ",0
5,"mail delivery system < mailer-daemon @ tele-punt-22.mail.demon.net > message created automatically mail delivery software . message sent could delivered recipients . following message , addressed 'meow1p654 @ epoq.demon.co.uk ' , failed collected 30 days copy first part message , including headers . -- -- start returned message -- -- received : punt-2.mail.demon.net mailstore meow1p654 @ epoq.demon.co.uk id 1024819224:20:29436:23 ; sun , 23 jun 2002 08:00:24 gmt received : dogma.slashnull.org ( [ 212.17.35.15 ] ) punt-2.mail.demon.net id aa2004348 ; 23 jun 2002 8:00 gmt received : ( yyyy @ localhost ) dogma.slashnull.org ( 8.11.6/8.11.6 ) id g5n80gr10697 meow1p654 @ epoq.demon.co.uk ; sun , 23 jun 2002 09:00:16 +0100 date : sun , 23 jun 2002 09:00:16 +0100 message-id : < 200206230800.g5n80gr10697 @ dogma.slashnull.org > : yyyy @ spamassassin.taint.org ( justin mason ) subject : away mail precedence : junk [ mail automatically generated 'vacation ' program ] reading mail -- fact , reading mail intermittently june , 'm travelling around world . mail regarding `` immediately attract women . pvwpj '' read point . 're writing something netnote-related , please contact nicola mcdonnell < nicola @ netnoteinc.com > . spamassassin-related contact directed spamassassin-talk mailing list < spamassassin-talk @ lists.sf.net > , craig hughes < craig @ hughes-family.org > . sitescooper-related mail go < sitescooper-talk @ lists.sf.net > . webmake-related stuff goes , guessed , < webmake-talk @ lists.sf.net > ; ) ( probably ) read mail eventually ... take . see june ! -- j . -- -- end returned message -- -- ",0
6,"`` hunt , bryan '' < b.hunt @ emuse-tech.com > 'm knocking dell general , next machine going dell . buying random dell box likely result much tearing hair . -- b -- -- -original message -- -- - : stephen_reilly @ dell.com [ mailto : stephen_reilly @ dell.com ] sent : 02 august 2002 09:20 : ilug @ linux.ie subject : : [ ilug ] dell gx260 v redhat 7.3 > > swear god carefull dell machines > > linux . ... > > cheapo piece hardware ( eth card , modem , > > sound , graphics ) > > incompatable/unsupported . ... > > crap > > dell machine yes , yes , terribly insightful extremely useful information . > got new dell gx260 machines work > 'm supposed > putting linux . tried installing redhat 7.3. > n't want > know graphics card . 's onboard intel dvmt chip . > dedicated memory , takes onboard ram . onboard dvmt card intel 845 g/gl chipset . http : //www.intel.com/support/graphics/linux/ http : //www.intel.com/support/graphics/intel845g/linux.htm specific information . help available . also found somewhere ( personal experience though ) 2.4.19-pre10ac2 includes drivers chipset ? steve -- irish linux users ' group : ilug @ linux.ie http : //www.linux.ie/mailman/listinfo/ilug ( un ) subscription information . list maintainer : listmaster @ linux.ie -- irish linux users ' group : ilug @ linux.ie http : //www.linux.ie/mailman/listinfo/ilug ( un ) subscription information . list maintainer : listmaster @ linux.ie ",0
7,"pudge @ perl.org use perl daily headline mailer week perl5-porters ( 15-21 july 2002 ) posted rafael monday july 22 , @ 03:21 ( summaries ) http : //use.perl.org/article.pl ? sid=02/07/22/0725254 lan party oscon posted ziggy monday july 22 , @ 13:06 ( events ) http : //use.perl.org/article.pl ? sid=02/07/22/179214 copyright 1997-2002 pudge . rights reserved . ====================================================================== received message subscribed use perl . stop receiving messages use perl , add messages change preferences , please go user page . http : //use.perl.org/my/messages/ log change preferences . ",0
8,"`` michael j humphries '' < adminmjh @ alphacomm.net > thank response verify taken steps metioned well would like stop mail entering mail boxes need info integrate qmail newbie terms possible . thank help michael humphries alphacomm.net network administrator 906-639-3500 877-450-3500 adminmjh @ alphacomm.net www.alphacomm.net -- -- -original message -- -- - : razor-users-admin @ example.sourceforge.net [ mailto : razor-users-admin @ lists.sourceforge.net ] behalf daniel higgins sent : tuesday , august 13 , 2002 10:15 : razor-users @ example.sourceforge.net subject : : [ razor-users ] fw : intigration qmail n't think get exactly razor . razor used stop spam entering mail box , leave mail server . altough could probably use way doubt would much good ( mail leaving server , likely new spam wouldn`t get caught razor ) might want look dealing troublesome users directly . ( you`ve probably screamed lot times ) close open relay one , plenty sites tells ( rbl sites ) -- daniel higgins netcommunications inc. administrateur systme / network administrator tel : 450-346-3401 fax : 450-346-3587 dhiggins @ netc.net http : //www.netc.net -- -- - original message -- -- - : `` michael j humphries '' < adminmjh @ alphacomm.net > : < razor-users @ example.sourceforge.net > sent : tuesday , august 13 , 2002 10:44 subject : [ razor-users ] fw : intigration qmail > sent message already sorry asking wrong > question asking stupid questions urgent > time people using service spam others need stop > quickly . hope one help please let > know asking bad questions need > different list serv . thank much time > > michael humphries > alphacomm.net > network administrator > 906-639-3500 > 877-450-3500 > adminmjh @ alphacomm.net > www.alphacomm.net > > > -- -- -original message -- -- - > : michael j humphries [ mailto : adminmjh @ alphacomm.net ] > sent : friday , august 09 , 2002 2:25 pm > : 'razor-users @ example.sourceforge.net' > subject : intigration qmail > > redhat 7.2 qmail 1.0.2 vpopmail 5.3.8 tring > intigrate -revoke -check etc.. find > found procmail example . place find > information someone already run found way > get done > > michael humphries > alphacomm.net > network administrator > 906-639-3500 > 877-450-3500 > adminmjh @ alphacomm.net > www.alphacomm.net > > > > > > -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - > sf.net email sponsored : dice - leading online job board > high-tech professionals . search apply tech jobs today ! > http : //seeker.dice.com/seeker.epl ? rel_code=31 > _______________________________________________ > razor-users mailing list > razor-users @ lists.sourceforge.net > https : //lists.sourceforge.net/lists/listinfo/razor-users > -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - sf.net email sponsored : dice - leading online job board high-tech professionals . search apply tech jobs today ! http : //seeker.dice.com/seeker.epl ? rel_code1 _______________________________________________ razor-users mailing list razor-users @ lists.sourceforge.net https : //lists.sourceforge.net/lists/listinfo/razor-users -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - sf.net email sponsored : dice - leading online job board high-tech professionals . search apply tech jobs today ! http : //seeker.dice.com/seeker.epl ? rel_code1 _______________________________________________ razor-users mailing list razor-users @ lists.sourceforge.net https : //lists.sourceforge.net/lists/listinfo/razor-users ",0
9,"ger < bootsys @ eircom.net > 17:34 31/07/02 +0100 , liam bedford wrote : > fdisk /mbr restore dos mbr.. 'll leave partitions alone . clear partition table entries mbr end valid boot signature . regards ger -- irish linux users ' group : ilug @ linux.ie http : //www.linux.ie/mailman/listinfo/ilug ( un ) subscription information . list maintainer : listmaster @ linux.ie ",0
